ir_led	red_led spo2	bpm
28469	64567	62
13889	14266	62
13902	14285	62
13859	13878	62
31543	36149	62
13926	14198	62
13845	14170	62
13859	13838	62
13883	14162	62
13902	14156	62
13792	14241	62
13828	14134	62
5943	30774	62
6199	38966	62
11319	27190	62
13848	14218	62
13845	14181	62
13796	14250	62
13834	14249	62
13867	14261	62
13856	14207	62
13905	13845	62
14170	13847	62
13869	14278	62
13838	14134	62
13843	14167	62
13859	14305	62
13820	14233	62
13835	13868	62
14186	13885	62
13789	14202	62
13895	14281	62
13849	14176	62
13934	14250	62
13873	14162	62
13927	14308	62
13807	14134	62
13862	14231	62
13848	14134	62
11575	50742	62
10551	49462	62
13878	9015	62
13898	14282	62
13919	14234	62
13821	14259	62
13901	14226	62
13832	14272	62
13822	14276	62
13793	14222	62
13908	14250	62
13908	13927	62
13884	14244	62
13844	13862	62
13936	14193	62
13859	13865	62
13883	14197	62
13878	14253	62
13940	14232	62
13855	14316	62
13886	14254	62
13970	14250	62
13821	14134	62
2103	13825	62
13852	14133	62
57655	13818	62
14193	13877	62
14239	13813	62
14134	13844	62
14255	13762	62
14186	13878	62
9015	54582	62
24375	33845	62
13848	14134	62
13890	14222	62
13878	15926	62
15926	13970	62
13877	13821	62
13878	310	62
13777	14230	62
13788	14276	62
13892	13877	62
14239	13934	62
14252	13824	62
14174	13877	62
49719	27190	62
11575	53814	62
4406	24375	62
13850	14217	62
13830	13890	62
14222	13872	62
13844	14304	62
13878	30775	62
13827	14200	62
13874	14256	62
13827	14185	62
13878	17463	62
13922	13934	62
13816	14195	62
13840	14260	62
13899	14209	62
13878	4407	62
13861	14233	62
13878	6711	62
35126	4407	62
54070	13872	62
14222	13920	62
14134	13842	62
13875	13827	62
13817	14134	62
13872	14163	62
13904	14241	62
13923	14216	62
13914	14242	62
13860	14291	62
13875	14272	62
13874	14266	62
13844	14171	62
13829	14200	62
13797	13878	62
4407	54070	62
10295	48438	62
11319	42550	62
9783	40246	62
13829	14202	62
13896	13872	62
13906	14168	62
13750	14267	62
13878	23094	62
13870	14250	62
13843	14152	62
13859	14262	62
13876	14198	62
13826	14160	62
13835	14243	62
13890	14295	62
13851	14134	62
11319	42550	62
13966	14148	62
13816	14185	62
13841	14217	62
13929	14134	62
13896	14186	62
13877	14253	62
13827	14296	62
13860	14231	62
13838	14184	62
13891	13876	62
13919	14209	62
13885	14233	62
13886	14292	62
13894	14320	62
13883	14222	62
13941	14218	62
13871	14213	62
13973	14230	62
13944	14214	62
13890	14301	62
13900	14206	62
13844	14134	62
13892	14236	62
13878	3639	62
26678	18231	62
32054	13919	62
14209	13837	62
13950	14172	62
13851	14229	62
13835	14208	62
13918	14254	62
13803	14209	62
13843	14253	62
13861	13944	62
13837	13878	62
16951	56630	62
17719	13970	62
14286	13914	62
13877	14134	62
13788	14279	62
13891	14234	62
13882	14203	62
13882	14229	62
13831	14254	62
13878	2871	62
32822	13918	62
13847	14222	62
13847	13843	62
13903	14134	62
9527	13908	62
13945	14134	62
13828	14204	62
13820	14259	62
13802	14153	62
13877	14204	62
13883	14336	62
13622	14903	62
13790	14204	62
13895	14179	62
13877	14150	62
13859	13862	62
14283	13622	62
5943	36406	62
15159	20533	62
58167	13881	62
13878	31031	62
35638	8759	62
42550	823	62
13815	14288	62
13862	14220	62
13862	13883	62
14336	13877	62
13809	13790	62
14204	13916	62
14319	13854	62
13868	14234	62
13816	14247	62
13914	13878	62
15159	20534	62
23351	13948	62
14287	13913	62
14296	13816	62
13781	14223	62
13950	14269	62
13878	9783	62
35894	16950	62
9783	24118	62
11575	50486	62
13876	14210	62
13622	7734	62
13891	14281	62
13877	63543	62
42806	5174	62
23095	28982	62
13880	14221	62
13884	14313	62
13889	14210	62
13826	14206	62
13898	14134	62
32311	48438	62
13833	14134	62
13834	14170	62
13838	13900	62
14228	13907	62
14296	13815	62
13853	14275	62
13878	14263	62
13878	5175	62
56374	13854	62
14175	13622	62
13777	14227	62
13888	14183	62
13876	14260	62
13788	14230	62
13856	14265	62
13945	14228	62
13877	13878	62
2615	23094	62
3639	40502	62
17463	13841	62
13878	7479	62
13910	14270	62
13822	13862	62
13878	8503	62
46133	62007	62
13775	14201	62
13878	16438	62
16439	26422	62
10807	33077	62
65335	36150	62
13881	14221	62
13924	14277	62
13824	14238	62
13811	14263	62
13818	13841	62
13906	14196	62
13838	14252	62
13928	14286	62
13866	14237	62
13932	13810	62
14223	13860	62
14157	13838	62
13806	14268	62
13877	14133	62
13916	14194	62
13866	13881	62
13868	14247	62
13861	14134	62
13867	14285	62
13845	14352	62
13851	14226	62
13891	14257	62
13878	14221	62
13834	14283	62
13893	14275	62
13911	13860	62
14133	60727	62
49462	15927	62
13908	14240	62
13875	14296	62
13876	14240	62
13779	14198	62
13890	14199	62
13777	13867	62
14285	13872	62
14210	13878	62
13842	14222	62
13870	14280	62
13858	14250	62
13907	14185	62
13872	14134	62
13895	14245	62
13941	13886	62
14224	13937	62
13957	14241	62
13757	14184	62
13878	14258	62
13817	14188	62
13877	14128	62
13836	14210	62
13842	14228	62
13891	14297	62
13819	14214	62
13776	14221	62
13918	14259	62
13954	13872	62
14306	13878	62
13878	13941	62
13953	13937	62
14208	13848	62
13877	48439	62
26678	10295	62
35382	22583	62
58166	21814	62
13623	12341	62
43830	1079	62
48438	25399	62
31286	5687	62
13844	14208	62
13878	24119	62
45877	60727	62
13878	3895	62
13873	14182	62
13856	14246	62
13885	14313	62
13874	14205	62
13852	14215	62
13885	14224	62
13879	14230	62
13904	13739	62
14168	13829	62
14271	13836	62
13874	14253	62
13901	13844	62
14208	13844	62
14178	13877	62
13878	6711	62
13835	14134	62
13878	8247	62
42550	13885	62
14313	13833	62
13901	14236	62
13784	14175	62
13800	14249	62
13878	13878	62
20535	44598	62
5175	41782	62
5943	36406	62
16183	50486	62
13861	13844	62
14178	13878	62
15159	34614	62
3639	47158	62
4918	44599	62
13898	14156	62
13873	14255	62
13882	14204	62
13859	14279	62
13892	14289	62
13847	13873	62
14256	13883	62
14162	13895	62
14134	567	62
41270	25143	62
13831	14170	62
13889	14203	62
13878	3638	62
13909	14134	62
4919	36918	62
822	13898	62
14156	13860	62
14228	13878	62
14903	31798	62
23095	27957	62
13622	5943	62
13869	14224	62
13862	13895	62
13823	14214	62
13622	25143	62
33078	6711	62
13837	14297	62
13912	14287	62
13840	13878	62
13927	14236	62
13884	14240	62
13913	14186	62
13813	14243	62
13887	14134	62
13834	13810	62
13823	14133	62
57655	28982	62
13893	14134	62
9783	19254	62
3383	44597	62
64823	38454	62
13878	13837	62
14297	13904	62
13882	14256	62
13850	14236	62
13850	14191	62
13904	13913	62
13879	14286	62
13809	14204	62
13843	14286	62
13877	13823	62
14217	13861	62
14185	13855	62
14232	13912	62
13815	14239	62
13834	14207	62
13852	14232	62
13847	14321	62
13872	14301	62
13875	14248	62
22455	22462	62
13877	13879	62
14286	13887	62
14205	13851	62
13835	14134	62
13856	14231	62
13850	14187	62
13878	22583	62
32310	9016	62
13817	14186	62
13887	14210	62
13878	5943	62
61750	9015	62
13791	14182	62
13840	14167	62
46901	62007	62
21813	61751	62
34614	13887	62
14205	13851	62
13829	14324	62
13802	14141	62
13811	13850	62
13837	14228	62
13840	14287	62
13907	14316	62
13867	14235	62
13895	14228	62
13923	14189	62
13933	14231	62
13878	4151	62
37430	8503	62
19766	7223	62
13820	14205	62
13886	14262	62
13878	1335	62
62518	13367	62
44854	13811	62
14220	13890	62
13859	14220	62
13865	14134	62
13878	11062	62
11063	39734	62
13826	14195	62
13870	14234	62
13815	14202	62
13880	14134	62
13887	14129	62
13854	14186	62
13858	14144	62
13970	14140	62
13947	14304	62
13863	14262	62
13882	14232	62
13896	14134	62
9015	35894	62
13897	14284	62
13834	14247	62
13825	13826	62
14134	32055	62
13874	14274	62
13811	14238	62
13856	13887	62
14129	13903	62
13878	8759	62
16438	25143	62
48438	4150	62
31543	57398	62
45877	54839	62
44854	5687	62
13878	25655	62
46902	13878	62
18743	52278	62
13878	311	62
55861	53558	62
13930	13878	62
13877	62263	62
13888	14134	62
13878	13903	62
13856	14155	62
13785	14273	62
13878	4151	62
13846	14163	62
13806	14294	62
13878	5687	62
43574	10807	62
23094	32311	62
42806	24118	62
21303	51510	62
13877	53559	62
15413	65078	62
13864	14311	62
13840	13888	62
13857	14214	62
13950	14213	62
13877	55607	62
49462	16695	62
13946	13846	62
14163	14005	62
14292	13881	62
14256	13878	62
10806	13950	62
14247	13864	62
13930	14266	62
13878	13848	62
14196	13853	62
13904	14244	62
13916	14218	62
13913	14295	62
13845	14251	62
13866	14292	62
13865	14134	62
13884	14301	62
13801	14005	62
13622	14647	62
13911	14257	62
13866	14229	62
13897	14237	62
13901	14221	62
13852	14205	62
13791	14227	62
13850	13904	62
14244	13856	62
13822	13913	62
14295	13926	62
14157	13881	62
13766	14331	62
13852	14314	62
13846	14324	62
13825	14211	62
13808	14134	62
22327	45366	62
13851	14271	62
13853	14121	62
13887	14224	62
13813	14133	62
13900	14157	62
13878	8247	62
13837	14182	62
13872	14214	62
13864	13881	62
14272	13877	62
50742	11063	62
19254	9014	62
5687	62517	62
61751	30262	62
13878	19255	62
13889	14178	62
13825	14265	62
13810	14134	62
16183	36918	62
13888	14134	62
19511	19766	62
4151	13866	62
13732	14247	62
13902	13864	62
14134	11575	62
49974	6711	62
36662	12599	62
13904	14241	62
13919	13834	62
14182	13855	62
13897	14134	62
16695	13878	62
14172	13877	62
62007	30774	62
13845	14183	62
13849	14134	62
4151	46646	62
3383	31798	62
13861	14255	62
13914	14240	62
13876	14329	62
13887	14134	62
12599	19510	62
13891	14290	62
13890	14134	62
7991	29750	62
13935	14226	62
13872	13939	62
14236	13846	62
13887	14256	62
13886	14225	62
13924	14244	62
13924	14209	62
13871	14219	62
13851	14169	62
13895	14257	62
13901	14134	62
16182	31798	62
30007	25142	62
13838	14134	62
16951	54326	62
7989	13935	62
13878	13878	62
13896	14201	62
13837	14134	62
16182	25143	62
21814	9015	62
42038	19255	62
13895	14213	62
13878	6967	62
13910	13895	62
13966	13901	62
13828	14134	62
31799	29238	62
13878	3639	62
38454	17207	62
54582	3127	62
36918	25911	62
47414	7991	62
53558	8758	62
3383	43061	62
13904	14344	62
13622	19255	62
37174	8759	62
13856	14248	62
13912	14227	62
